Date,Rate,High (est),Low (est)
2017-04-03,27.110000610352,27.110000610352,26.969999313354
2017-03-31,26.969999313354,27.030000686646,26.969999313354
2017-03-30,27.030000686646,27.030000686646,26.940000534058
2017-03-29,26.940000534058,26.995000839233,26.940000534058
2017-03-28,26.995000839233,27.090000152588,26.979999542236
2017-03-27,27.090000152588,27.129999160767,27.030000686646
2017-03-24,27.10000038147,27.129999160767,26.959999084473
2017-03-23,27.059999465942,27.090000152588,26.889999389648
2017-03-22,26.889999389648,26.920000076294,26.790000915527
2017-03-21,26.85000038147,26.860000610352,26.85000038147
2017-03-20,26.860000610352,26.959999084473,26.840000152588
2017-03-17,26.870000839233,26.940000534058,26.790000915527
2017-03-16,26.940000534058,26.969999313354,26.840000152588
2017-03-15,26.840000152588,26.870000839233,26.840000152588
2017-03-14,26.870000839233,26.930000305176,26.840000152588
2017-03-13,26.889999389648,26.959999084473,26.709999084473
2017-03-10,26.709999084473,26.959999084473,26.690000534058
2017-03-09,26.829999923706,26.940000534058,26.809999465942
2017-03-08,26.940000534058,26.940000534058,26.940000534058
2017-03-07,26.940000534058,26.969999313354,26.930000305176
2017-03-06,26.950000762939,27.170000076294,26.950000762939
2017-03-03,27.079999923706,27.090000152588,26.989999771118
2017-03-02,26.989999771118,27.14999961853,26.989999771118
2017-03-01,27.14999961853,27.170000076294,26.959999084473
2017-02-28,27.170000076294,27.170000076294,27.030000686646
2017-02-27,27.030000686646,27.030000686646,26.889999389648
2017-02-24,26.889999389648,27.139999389648,26.889999389648
2017-02-23,26.889999389648,26.909999847412,26.840000152588
2017-02-22,26.909999847412,27.239999771118,26.889999389648
2017-02-21,27.020000457764,27.040000915527,26.969999313354
2017-02-20,26.969999313354,27.010000228882,26.940000534058
2017-02-17,27.010000228882,27.030000686646,26.969999313354
2017-02-16,26.989999771118,27.184999465942,26.940000534058
2017-02-15,27.184999465942,27.184999465942,26.930000305176
2017-02-14,27.10000038147,27.370000839233,27.040000915527
2017-02-13,27.370000839233,27.489999771118,27.069999694824
2017-02-10,27.190000534058,27.239999771118,27.02499961853
2017-02-09,27.02499961853,27.02499961853,26.889999389648
2017-02-08,26.89999961853,27.129999160767,26.860000610352
2017-02-07,26.969999313354,27.090000152588,26.969999313354
2017-02-06,27.090000152588,27.270000457764,27.090000152588
2017-02-03,27.139999389648,27.139999389648,26.909999847412
2017-02-02,26.909999847412,26.989999771118,26.840000152588
2017-02-01,26.840000152588,27.059999465942,26.840000152588
2017-01-31,27.059999465942,27.079999923706,27.040000915527
2017-01-30,27.079999923706,27.176000595093,27.059999465942
2017-01-27,27.176000595093,27.190000534058,27.139999389648
2017-01-26,27.14999961853,27.215000152588,27.139999389648
2017-01-25,27.139999389648,27.209999084473,27.129999160767
2017-01-24,27.209999084473,27.284999847412,27.159999847412
2017-01-23,27.239999771118,27.354999542236,27.239999771118
2017-01-20,27.340000152588,27.629999160767,27.340000152588
2017-01-19,27.389999389648,27.489999771118,27.329999923706
2017-01-18,27.489999771118,27.559999465942,27.409999847412
2017-01-17,27.559999465942,27.690000534058,27.559999465942
2017-01-16,27.690000534058,27.739999771118,27.540000915527
2017-01-13,27.540000915527,27.639999389648,27.229999542236
2017-01-12,27.229999542236,27.229999542236,27.139999389648
2017-01-11,27.159999847412,27.200000762939,26.889999389648
2017-01-10,27.090000152588,27.139999389648,26.889999389648
2017-01-09,26.889999389648,26.889999389648,26.889999389648
2017-01-06,26.889999389648,26.989999771118,26.270000457764
2017-01-05,26.270000457764,26.590000152588,26.040000915527
2017-01-04,26.590000152588,26.989999771118,26.489999771118
2017-01-03,26.989999771118,26.989999771118,26.989999771118
2017-01-02,26.989999771118,26.989999771118,26.989999771118
2016-12-30,26.989999771118,26.989999771118,26.989999771118
2016-12-29,26.989999771118,27.290000915527,26.989999771118
2016-12-28,27.139999389648,27.139999389648,26.590000152588
2016-12-27,26.590000152588,26.590000152588,26.309999465942
2016-12-26,26.309999465942,26.340000152588,26.260000228882
2016-12-23,26.260000228882,26.280000686646,26.069999694824
2016-12-22,26.139999389648,26.370000839233,26.139999389648
2016-12-21,26.370000839233,26.389999389648,26.370000839233
2016-12-20,26.389999389648,26.389999389648,26.229999542236
2016-12-19,26.229999542236,26.229999542236,26.200000762939
2016-12-16,26.200000762939,26.290000915527,25.969999313354
2016-12-15,25.969999313354,26.340000152588,25.969999313354
2016-12-14,26.309999465942,26.329999923706,26.090000152588
2016-12-13,26.110000610352,26.110000610352,26.030000686646
2016-12-12,26.040000915527,26.167499542236,25.940000534058
2016-12-09,25.989999771118,25.989999771118,25.620000839233
2016-12-08,25.629999160767,25.799999237061,25.629999160767
2016-12-07,25.64999961853,26.059999465942,25.64999961853
2016-12-06,26.059999465942,26.10000038147,26.0
2016-12-05,26.049999237061,26.159999847412,25.969999313354
2016-12-02,25.969999313354,25.969999313354,25.64999961853
2016-12-01,25.64999961853,25.64999961853,24.959999084473
2016-11-30,25.520000457764,25.569999694824,25.520000457764
2016-11-29,25.569999694824,25.629999160767,25.569999694824
2016-11-28,25.629999160767,25.700000762939,25.629999160767
2016-11-25,25.700000762939,25.700000762939,25.579999923706
2016-11-24,25.579999923706,25.579999923706,25.579999923706
2016-11-23,25.579999923706,25.629999160767,25.579999923706
2016-11-22,25.629999160767,25.700000762939,25.629999160767
2016-11-21,25.700000762939,25.85000038147,25.700000762939
2016-11-18,25.85000038147,25.969999313354,25.85000038147
2016-11-17,25.969999313354,26.170000076294,25.969999313354
2016-11-16,26.170000076294,26.170000076294,26.139999389648
2016-11-15,26.139999389648,26.139999389648,25.75
2016-11-14,25.75,25.75,25.620000839233
2016-11-11,25.620000839233,25.620000839233,25.565000534058
2016-11-10,25.565000534058,25.565000534058,25.540000915527
2016-11-09,25.540000915527,25.549999237061,25.540000915527
2016-11-08,25.549999237061,25.559999465942,25.549999237061
2016-11-07,25.559999465942,25.565000534058,25.559999465942
2016-11-04,25.565000534058,25.569999694824,25.565000534058
2016-11-03,25.569999694824,25.579999923706,25.479999542236
2016-11-02,25.479999542236,25.572500228882,25.479999542236
2016-11-01,25.572500228882,25.572500228882,25.5
2016-10-31,25.5,25.5,25.469999313354
2016-10-28,25.469999313354,25.5,25.469999313354
2016-10-27,25.469999313354,25.5,25.469999313354
2016-10-26,25.5,25.5,25.450000762939
2016-10-25,25.450000762939,25.610000610352,25.450000762939
2016-10-24,25.610000610352,25.610000610352,25.60000038147
2016-10-21,25.60000038147,25.637500762939,25.60000038147
2016-10-20,25.610000610352,25.680000305176,25.610000610352
2016-10-19,25.680000305176,25.680000305176,25.579999923706
2016-10-18,25.579999923706,25.709999084473,25.579999923706
2016-10-17,25.709999084473,25.770000457764,25.709999084473
2016-10-14,25.770000457764,25.770000457764,25.770000457764
2016-10-13,25.770000457764,25.790000915527,25.770000457764
2016-10-12,25.790000915527,25.834999084473,25.790000915527
2016-10-11,25.834999084473,25.834999084473,25.799999237061
2016-10-10,25.799999237061,25.799999237061,25.75
2016-10-07,25.75,25.860000610352,25.75
2016-10-06,25.860000610352,25.860000610352,25.840000152588
2016-10-05,25.840000152588,25.840000152588,25.799999237061
2016-10-04,25.799999237061,25.879999160767,25.799999237061
2016-10-03,25.879999160767,25.89999961853,25.879999160767
2016-09-30,25.89999961853,25.89999961853,25.840000152588
2016-09-29,25.840000152588,25.860000610352,25.840000152588
2016-09-28,25.860000610352,25.860000610352,25.770000457764
2016-09-27,25.770000457764,25.870000839233,25.770000457764
2016-09-26,25.870000839233,25.930000305176,25.870000839233
2016-09-23,25.930000305176,25.930000305176,25.930000305176
2016-09-22,25.930000305176,25.930000305176,25.889999389648
2016-09-21,25.889999389648,25.909999847412,25.889999389648
2016-09-20,25.909999847412,25.909999847412,25.729999542236
2016-09-19,25.729999542236,25.799999237061,25.729999542236
2016-09-16,25.799999237061,26.079999923706,25.799999237061
2016-09-15,26.079999923706,26.329999923706,26.079999923706
2016-09-14,26.329999923706,26.329999923706,26.200000762939
2016-09-13,26.200000762939,26.590000152588,26.200000762939
2016-09-12,26.590000152588,26.629999160767,26.590000152588
2016-09-09,26.629999160767,26.629999160767,26.629999160767
2016-09-08,26.629999160767,26.680000305176,26.629999160767
2016-09-07,26.680000305176,26.809999465942,26.680000305176
2016-09-06,26.809999465942,26.809999465942,24.797500610352
2016-09-05,24.797500610352,24.797500610352,24.797500610352
2016-09-02,26.64999961853,26.64999961853,26.60000038147
2016-09-01,26.60000038147,26.60000038147,26.200000762939
2016-08-31,26.200000762939,26.200000762939,25.700000762939
2016-08-30,25.700000762939,25.700000762939,25.530000686646
2016-08-29,25.530000686646,25.530000686646,25.459999084473
2016-08-26,25.459999084473,25.459999084473,25.440000534058
2016-08-25,25.440000534058,25.440000534058,25.329999923706
2016-08-24,25.329999923706,25.329999923706,25.329999923706
2016-08-23,25.329999923706,25.329999923706,25.290000915527
2016-08-22,25.290000915527,25.290000915527,25.209999084473
2016-08-19,25.209999084473,25.209999084473,25.170000076294
2016-08-18,25.170000076294,25.170000076294,25.079999923706
2016-08-17,25.079999923706,25.079999923706,24.879999160767
2016-08-16,24.879999160767,25.0,24.879999160767
2016-08-15,25.0,25.0,25.0
2016-08-12,25.0,25.0,24.89999961853
2016-08-11,24.89999961853,24.89999961853,24.799999237061
2016-08-10,24.799999237061,24.799999237061,24.799999237061
2016-08-09,24.799999237061,24.825000762939,24.799999237061
2016-08-08,24.825000762939,24.825000762939,24.809999465942
2016-08-05,24.809999465942,24.809999465942,24.770000457764
2016-08-04,24.770000457764,24.805000305176,24.770000457764
2016-08-03,24.805000305176,24.805000305176,24.797500610352
2016-08-02,24.797500610352,24.89999961853,24.797500610352
2016-08-01,24.799999237061,24.819999694824,24.799999237061
2016-07-29,24.819999694824,24.819999694824,24.798000335693
2016-07-28,24.798000335693,24.799999237061,24.798000335693
2016-07-27,24.799999237061,24.799999237061,24.780000686646
2016-07-26,24.780000686646,24.780000686646,24.770000457764
2016-07-25,24.770000457764,24.770000457764,24.739999771118
2016-07-22,24.739999771118,24.799999237061,24.739999771118
2016-07-21,24.799999237061,24.799999237061,24.790000915527
2016-07-20,24.790000915527,24.799999237061,24.790000915527
2016-07-19,24.799999237061,24.834999084473,24.799999237061
2016-07-18,24.834999084473,24.834999084473,24.819999694824
2016-07-15,24.819999694824,24.819999694824,24.760000228882
2016-07-14,24.760000228882,24.760000228882,24.75
2016-07-13,24.75,24.825000762939,24.75
2016-07-12,24.825000762939,24.840000152588,24.825000762939
2016-07-11,24.840000152588,24.840000152588,24.840000152588
2016-07-08,24.840000152588,24.840000152588,24.799999237061
2016-07-07,24.920000076294,24.920000076294,24.799999237061
2016-07-06,24.829999923706,24.840000152588,24.829999923706
2016-07-05,24.840000152588,24.840000152588,24.815000534058
2016-07-04,24.815000534058,24.815000534058,24.815000534058
2016-07-01,24.815000534058,24.829999923706,24.815000534058
2016-06-30,24.799999237061,24.920000076294,24.799999237061
2016-06-29,24.920000076294,24.920000076294,24.854999542236
2016-06-28,24.887500762939,24.887500762939,24.874950408936
2016-06-27,24.887500762939,24.887500762939,24.736949920654
2016-06-24,24.736949920654,24.887500762939,24.736949920654
2016-06-23,24.840000152588,24.895000457764,24.771450042725
2016-06-22,24.895000457764,25.055950164795,24.771450042725
2016-06-21,24.885000228882,25.047449111938,24.875
2016-06-20,24.895000457764,24.922449111938,24.864950180054
2016-06-17,24.864950180054,24.936950683594,24.785449981689
2016-06-16,24.864999771118,24.940000534058,24.809450149536
2016-06-15,24.905000686646,24.959449768066,24.812950134277
2016-06-14,24.934999465942,25.105449676514,24.870000839233
2016-06-13,24.870000839233,25.105449676514,24.870000839233
2016-06-10,25.06694984436,25.06694984436,24.995000839233
2016-06-09,25.004999160767,25.034999847412,24.886949539185
2016-06-08,24.953750610352,24.972949981689,24.9375
2016-06-07,24.969999313354,24.969999313354,24.889949798584
2016-06-06,24.954999923706,24.97500038147,24.944450378418
2016-06-03,24.946950912476,25.137950897217,24.946950912476
2016-06-02,25.0,25.080949783325,25.0
2016-06-01,25.075000762939,25.154949188232,25.075000762939
2016-05-31,25.075000762939,25.174999237061,25.075000762939
2016-05-30,25.174999237061,25.174999237061,25.129999160767
2016-05-27,25.146949768066,25.14999961853,25.062950134277
2016-05-26,25.110000610352,25.110450744629,25.075000762939
2016-05-25,25.075000762939,25.228450775146,25.075000762939
2016-05-24,25.129999160767,25.129999160767,25.083450317383
2016-05-23,25.125,25.158449172974,25.049999237061
2016-05-20,25.158449172974,25.243949890137,25.049999237061
2016-05-19,25.22500038147,25.353450775146,25.218450546265
2016-05-18,25.239999771118,25.294450759888,25.218450546265
2016-05-17,25.27499961853,25.573949813843,25.239999771118
2016-05-16,25.375,25.573949813843,25.375
2016-05-13,25.499450683594,25.510000228882,25.25
2016-05-12,25.25,25.375,25.200000762939
2016-05-11,25.340000152588,25.375,25.10000038147
2016-05-10,25.174999237061,25.25,25.174999237061
2016-05-09,25.180000305176,25.180000305176,25.174449920654
2016-05-06,25.174449920654,25.207950592041,25.14999961853
2016-05-05,25.14999961853,25.190950393677,25.110000610352
2016-05-04,25.135000228882,25.200000762939,25.029449462891
2016-05-03,25.125,25.135450363159,25.029449462891
2016-05-02,25.125,25.126949310303,25.052949905396
2016-04-29,25.200450897217,25.204999923706,25.125
2016-04-28,25.200000762939,25.208450317383,25.125
2016-04-27,25.125,25.274450302124,25.125
2016-04-26,25.200000762939,25.325000762939,25.200000762939
2016-04-25,25.325000762939,25.5,25.325000762939
2016-04-22,25.343950271606,25.417949676514,25.299999237061
2016-04-21,25.375,25.546449661255,25.375
2016-04-20,25.424999237061,25.428949356079,25.35000038147
2016-04-19,25.424999237061,25.5,25.424999237061
2016-04-18,25.479999542236,25.510000228882,25.410449981689
2016-04-17,25.174999237061,25.22500038147,25.145000457764
2016-04-15,25.450000762939,25.64999961853,25.424999237061
2016-04-14,25.60000038147,25.674999237061,25.487449645996
2016-04-13,25.504999160767,25.508449554443,25.444999694824
2016-04-12,25.340000152588,25.292999267578,25.194999694824
2016-04-11,25.375999450684,25.340000152588,25.280000686646
2016-04-10,25.375999450684,25.340000152588,25.280000686646
2016-04-08,25.541999816895,25.375999450684,25.375999450684
2016-04-07,25.58099937439,25.603000640869,25.496000289917
2016-04-06,25.58099937439,25.603000640869,25.496000289917
2016-04-05,25.686000823975,25.674999237061,25.638999938965
2016-04-04,25.881000518799,25.823999404907,25.686000823975
2016-04-03,25.843000411987,25.881000518799,25.871000289917
2016-04-01,26.003999710083,26.006000518799,25.843000411987
2016-03-31,26.003999710083,26.006000518799,25.843000411987
2016-03-30,26.134000778198,26.052000045776,25.958999633789
2016-03-29,25.954000473022,26.134000778198,25.878999710083
2016-03-28,25.951999664307,25.972999572754,25.954000473022
2016-03-27,25.951999664307,25.972999572754,25.954000473022
2016-03-25,25.959999084473,25.951999664307,25.94700050354
2016-03-24,25.947999954224,25.959999084473,25.951999664307
2016-03-23,25.929000854492,26.007999420166,25.944999694824
2016-03-22,26.097999572754,26.160999298096,25.920999526978
2016-03-21,26.347999572754,26.361000061035,26.097999572754
2016-03-20,26.347999572754,26.361000061035,26.097999572754
2016-03-18,26.257999420166,26.311000823975,26.253999710083
2016-03-17,26.367000579834,26.357999801636,26.270999908447
2016-03-16,26.658000946045,26.649000167847,26.645000457764
